Business / DBA Name,Legal Entity Name,Street Address,City,State,ZIP Code,NAICS Code,Industry Category,Entity Type,Permit Issue Date,MSSP Regulatory Sales Hook
IMOOR CORPORATION,IMOOR CORPORATION,2211 LAUDER RD,HOUSTON,TX,77039,238350,"Construction (General, Civil, Specialty Trades)",Texas Corporation,2020-03-13T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
"IMPACT FIRE SERVICES, LLC","IMPACT FIRE SERVICES, LLC",1285 N POST OAK RD STE 102,HOUSTON,TX,77055,238220,"Plumbing, Heating, and Air-Conditioning Contractors",Corporation / Corporate Entity,2009-07-31T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
"IMPACT FLOORS OF TEXAS, L.P.","IMPACT FLOORS OF TEXAS, LLC",5737 BRITTMOORE RD,HOUSTON,TX,77041,238330,"Construction (General, Civil, Specialty Trades)",Limited Liability Company (LLC),2018-07-16T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
IMPACT PROPERTY SOLUTIONS,"CRITERION SUPPLY, LLC",5737 BRITTMOORE RD STE 200,HOUSTON,TX,77041,238330,"Construction (General, Civil, Specialty Trades)",Corporation / Corporate Entity,2026-06-02T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
"IMPACT STONE DESIGN, INC.","IMPACT STONE DESIGN, INC.",3118 GOLFCREST BLVD,HOUSTON,TX,77087,238140,"Construction (General, Civil, Specialty Trades)",Texas Corporation,2019-04-24T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
IMPERIAL FLOORING SERVICES,TX IMPERIAL FLOORING SERVICE CORPORATION,5022 KLEINBROOK DR,HOUSTON,TX,77066,238330,"Construction (General, Civil, Specialty Trades)",Texas Corporation,2023-08-23T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
IMPERIAL GRANITE & CABINETS,"HOUSTON CABINET WHOLESALE, LLC",8700 CLAY RD STE 216,HOUSTON,TX,77080,238140,"Construction (General, Civil, Specialty Trades)",Limited Liability Company (LLC),2019-10-15T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
IN THE LOOP PLUMBING SERVICES LLC,IN THE LOOP PLUMBING SERVICES LLC,3009 TEXAS ST,HOUSTON,TX,77003,238220,"Plumbing, Heating, and Air-Conditioning Contractors",Limited Liability Company (LLC),2025-07-10T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
INDEPENDENT COMMERCIAL CONTRACTORS,ERIC R POCEVIC,2001 PECH RD,HOUSTON,TX,77055,238900,"Construction (General, Civil, Specialty Trades)",Type IS,1998-12-17T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
"INDOOR AIR, INCORPORATED","INDOOR AIR, INCORPORATED",5801 MAPLE ST,HOUSTON,TX,77074,238220,"Plumbing, Heating, and Air-Conditioning Contractors",Texas Corporation,2020-07-14T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
INDUCON INC,"INDUCON, INC.",6109 SAINT AUGUSTINE ST,HOUSTON,TX,77021,238222,"Construction (General, Civil, Specialty Trades)",Texas Corporation,2002-11-15T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
"INDUSTRIAL ELECTRICAL SERVICES, INC.","INDUSTRIAL ELECTRICAL SERVICES, INC.",5543 ARMOUR DR,HOUSTON,TX,77020,238212,"Construction (General, Civil, Specialty Trades)",Texas Corporation,2017-07-13T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
"INDUSTRIAL GUNITE, INC.","INDUSTRIAL GUNITE, INC.",14803 GARRETT RD,HOUSTON,TX,77044,238112,"Construction (General, Civil, Specialty Trades)",Texas Corporation,2018-04-17T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
INDUSTRIOUS ENERGY SOLUTIONS LLC,NXG ENERGY SERVICES LLC,12221 FM 529 RD,HOUSTON,TX,77041,238210,Electrical Contractors and Other Wiring Installation,Limited Liability Company (LLC),2025-04-02T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
"INFINITY GLASS INSTALLATIONS, INC.","INFINITY GLASS INSTALLATIONS, INC.",12402 ANN LN STE B,HOUSTON,TX,77064,238150,"Construction (General, Civil, Specialty Trades)",Texas Corporation,2026-09-09T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
"INFINITY MARINE OFFSHORE, LLC","INFINITY MARINE OFFSHORE, LLC",12775 NIMITZ ST,HOUSTON,TX,77015,238992,"Construction (General, Civil, Specialty Trades)",Limited Liability Company (LLC),2023-08-25T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
"INFINITY ROOFING & SIDING, LLC","INFINITY ROOFING & SIDING, LLC",18000 GROESCHKE RD STE G7,HOUSTON,TX,77084,238160,Roofing Contractors,Limited Liability Company (LLC),2012-07-09T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
"INFINITY SYSTEMS, INC.","INFINITY SYSTEMS, INC.",12014 WINDFERN RD,HOUSTON,TX,77064,238220,"Plumbing, Heating, and Air-Conditioning Contractors",Texas Corporation,2022-04-13T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
INFRASOURCE DASHIELL LLC,DASHIELL CORPORATION,12301 KURLAND DR,HOUSTON,TX,77034,238210,Electrical Contractors and Other Wiring Installation,Foreign Corporation (Out-of-State),2007-02-08T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
"INGLES, LLC DBA PRO AIR","INGLES, LLC",6805 CARSON RD,HOUSTON,TX,77048,238220,"Plumbing, Heating, and Air-Conditioning Contractors",Limited Liability Company (LLC),2018-03-14T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
INKD WALL LLC,INKD WALL LLC,960 PATTERSON ST,HOUSTON,TX,77007,238320,"Construction (General, Civil, Specialty Trades)",Limited Liability Company (LLC),2024-06-25T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
INMOTION TECHNICAL SUPPORT,STEVEN DANIEL CHAPITAL,13003 BACH ELM ST,HOUSTON,TX,77070,238210,Electrical Contractors and Other Wiring Installation,Type IS,2010-09-15T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
INNOV8 ANYTHING,STEPHEN A TRIMM,2930 STETSON LN,HOUSTON,TX,77043,238210,Electrical Contractors and Other Wiring Installation,Type IS,2015-10-16T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
INNOVATIVE EQUIPMENT AND LOGISTICS LLC,INNOVATIVE EQUIPMENT AND LOGISTICS LLC,3663 BRIARPARK DR,HOUSTON,TX,77042,238292,"Construction (General, Civil, Specialty Trades)",Limited Liability Company (LLC),2025-05-22T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
INNOVATIVE GLASS AND MIRROR,INNOVATIVE GLASS & MIRROR LLC,2331 WIRTCREST LN STE A,HOUSTON,TX,77055,238150,"Construction (General, Civil, Specialty Trades)",Limited Liability Company (LLC),2024-12-02T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
"INOVUES, INC.","INOVUES, INC.",2700 POST OAK BLVD STE 2100,HOUSTON,TX,77056,238150,"Construction (General, Civil, Specialty Trades)",Foreign Corporation (Out-of-State),2024-06-18T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
INOX E.P. & WELDING LLC,INOX E.P. & WELDING LLC,17350 STATE HIGHWAY 249 STE 22026553,HOUSTON,TX,77064,238190,"Construction (General, Civil, Specialty Trades)",Limited Liability Company (LLC),2026-01-08T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
"INSCO DISTRIBITING, INC. #1535","INSCO DISTRIBUTING, INC.",11102 BELTLINE RD STE 200,HOUSTON,TX,77067,238220,"Plumbing, Heating, and Air-Conditioning Contractors",Texas Corporation,2020-12-11T00:00:00.000,Business Email Compromise (BEC) & Cyber Insurance Renewal
